,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
2,AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1961,Spring,AMAD61101,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward"
3,AMOT,Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2019,Autumn,,Germany,Jost Kobusch
5,AMPH,Amphu I,,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2013,Autumn,AMPH13301,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon"
7,ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
8,ANN1,Annapurna I,,Annapurna Himal,8091,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1950,Spring,ANN150101,France,"Maurice Herzog, Louis Lachenal"
10,ANN3,Annapurna III,,Annapurna Himal,7555,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1961,Spring,ANN361101,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi"
11,ANN4,Annapurna IV,,Annapurna Himal,7525,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1955,Spring,ANN455101,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp"
14,ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1964,Autumn,ANNS64301,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa"
15,APIM,Api Main,,Api Himal,7132,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1960,Spring,APIM60101,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa"
18,ARNK,Arniko Chuli,Araniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,Mukut/Mustang,Dhaulagiri-Mukut,True,False,False,Opened in 2002,Nepal & China,Climbed,2002,Summer,ARNK02201,"Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa"
20,BAMO,Bamongo,,Rolwaling Himal (E of Chekigo on Tibetan border),6406,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal & China,Climbed,2013,Autumn,BAMO13301,"Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa"
21,BARU,Baruntse,,Khumbu Himal (W of Makalu),7152,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1954,Spring,BARU54101,New Zealand,"Colin Todd, Geoff Harrow"
23,BEDG,Beding Go,Bedding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal & China,Climbed,2015,Autumn,BEDG15301,"Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa"
25,BHRI,Bhrikuti,Damodar Himal,Damodar Himal (NE of Thorong La near Tibetan border),6476,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2014,Nepal only,Climbed,1982,Spring,BHRI82101,"Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa"
26,BHRS,Bhrikuti Shail,,Damodar Himal (NE of Thorong La on Tibetan border),6361,Damodar,Annapurna-Damodar-Peri,True,False,False,,Nepal & China,Climbed,2005,Spring,BHRS05101,"France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh"
28,BIJO,Bijora Hiunchuli,,Jagdula Lekh (S of Kande Huinchuli),6111,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
