,exp_id,peak_id,year,season,host,route1,route2,nation,leaders,sponsor,success1,success2,ascent1,ascent2,claimed,disputed,countries,bc_date,summit_date,summit_time,summit_days,tot_days,term_date,term_reason,term_note,high_point,traverse,ski,parapente,camps,rope,tot_members,summit_members,summiter_deaths,tot_hired,summit_hired,hired_deaths,no_hired,o2_used,o2_none,o2_climb,o2_descent,o2_sleep,o2_medical,o2_taken,o2_unkwn,other_smts,campsites,accidents,achievment,agency,comrte,stdrte,primrte,primmem,peak_name,peak_height
0,TKRG10101,TKRG,2010,Spring,Nepal,E Face-S Ridge,other,USA,David Gottlieb,Takargo 2010,True,False,1,,False,False,,2010-03-06 00:00:00,2010-03-12 00:00:00,1430.0,6,8,2010-03-14 00:00:00,1,,6771,False,False,False,0,0,3,2,0,0,0,0,True,False,True,False,False,False,False,False,False,0,"BC(06/03,4750m),Smt(12/03)",,True,Climb High Himalaya,False,False,False,False,Takargo,6771
1,AMPG10101,AMPG,2010,Spring,Nepal,NE Ridge of Amphu East,other,UK,John Allen,British Amphu Expedition,False,False,0,,False,False,,2010-04-05 00:00:00,  -   -,0.0,0,4,2010-04-09 00:00:00,12,,0,False,False,False,0,0,3,0,0,0,0,0,True,False,True,False,False,False,False,False,False,Attempted Amphu East,"BC(05/04,5100m),Biv.Amphu East(06/04,5600m),Amphu East.xxx(07/04,5900m)",,False,Summit Nepal Trekking,False,False,False,False,Amphu Gyabjen,5630
2,AMAD10101,AMAD,2010,Spring,Nepal,SW Ridge,other,Andorra,Orial Ribas,Andorrans to Ama Dablam,False,False,0,,False,False,,2010-04-05 00:00:00,2010-04-21 00:00:00,0.0,16,17,2010-04-22 00:00:00,4,,6500,False,False,False,0,0,2,0,0,0,0,0,True,False,True,False,False,False,False,False,False,0,"BC(05/04,4500m),Biv1(07/04,5500m),Biv2(21/04,5800m),C3(22/04,6100m),xxx(21/04,6500m)",,True,Thamserku Trekking,True,False,False,False,Ama Dablam,6814
3,AMAD10102,AMAD,2010,Spring,Nepal,SW Ridge,other,Kazakhstan,Dmitri Suponnikov,Ama Dablam Expedition,True,False,0,,False,False,Russia,2010-04-20 00:00:00,2010-04-27 00:00:00,1600.0,7,10,2010-04-30 00:00:00,1,,6814,False,False,False,3,600,2,1,0,0,0,0,True,False,True,False,False,False,False,False,False,0,"BC(20/04,5300m),C1(21/04,5800m),C2(22/04,6000m),C3(23/04,6270m),Smt(27/04)",Ivanova suffered from breathing difficulty,True,Durga Tamang (Himalayan Guides pmt),True,False,False,False,Ama Dablam,6814
4,AMAD10103,AMAD,2010,Spring,Nepal,SW Ridge,other,Russia,Sergei Kofanov,Media Arts Ama Dablam Expedition,True,False,0,,False,False,Ukraine,2010-04-04 00:00:00,2010-04-10 00:00:00,1600.0,6,9,2010-04-13 00:00:00,1,,6814,False,False,False,3,600,4,4,0,2,0,0,False,False,True,False,False,False,False,False,False,0,"BC(04/04,4000m),ABC(05/04,5100m),C1(06/04,5800m),C2(07/04,5900m),C3(08/04,6300m),Smt(10/04)",,False,Royal Mountain Travel,True,False,False,False,Ama Dablam,6814
5,AMAD10104,AMAD,2010,Spring,Nepal,SW Ridge,other,Russia,Volodymyr Khytrykov,Seven Summits Club Ama Dablam,True,False,0,,False,False,"Canada, Kazakhstan, Ukraine",2010-05-03 00:00:00,2010-05-13 00:00:00,0.0,10,12,2010-05-15 00:00:00,1,,6814,False,False,False,3,0,4,3,0,2,2,0,False,False,True,False,False,False,False,False,False,0,"BC(03/05,4500m),ABC(04/05,5200m),C1(05/05,5780m),C2(11/05,5900m),C3(12/05,6080m),Smt(13/05)","Kovalev pneumonia, hypostasis of lungs",False,Royal Mountain Travel,True,False,False,False,Ama Dablam,6814
6,AMAD10105,AMAD,2010,Spring,Nepal,SW Ridge,other,Russia,Evgeny Voronov,Two Russians on Ama Dablam,True,False,0,,False,False,,2010-04-26 00:00:00,2010-05-02 00:00:00,1600.0,6,9,2010-05-05 00:00:00,1,,6814,False,False,False,2,0,2,2,0,0,0,0,False,False,True,False,False,False,False,False,False,0,"BC(26/04,5450m),ABC(29/04,5450m),C2(30/04,6000m),C3(01/05,6300m),Smt(02/05)",,False,Royal Mountain Travel,True,False,False,False,Ama Dablam,6814
7,AMAD10106,AMAD,2010,Spring,Nepal,SW Ridge,other,Russia,Dmitri Bezruchko,Russian team to Ama Dablam,False,False,0,,False,False,,2010-04-17 00:00:00,2010-04-26 00:00:00,0.0,9,11,2010-04-28 00:00:00,7,,6500,False,False,False,2,80,6,0,0,1,0,0,False,False,True,False,False,False,False,False,False,0,"BC(17/04),ABC(19/04,5300m),C2(22/04,6040m),C3(25/04,6400m),xxx(26/04,6500m)",,False,Royal Mountain Travel,True,False,False,False,Ama Dablam,6814
8,AMAD10107,AMAD,2010,Spring,Nepal,SW Ridge,other,France,Mathias Le Douce,Frenchman on Ama Dablam,False,False,0,,False,False,,2010-04-29 00:00:00,2010-05-04 00:00:00,0.0,5,6,2010-05-05 00:00:00,5,,5900,False,False,False,1,0,1,0,0,1,0,0,False,False,True,False,False,False,False,False,False,0,"BC(29/04,4600m),C1(03/05,5600m),xxx(04/05,5900m)",,False,South Asian Treks,True,False,False,False,Ama Dablam,6814
9,AMAD10108,AMAD,2010,Spring,Nepal,SW Ridge,other,USA,Dick Morse,US Ama Dablam and Lhotse Expedition,False,False,0,,False,False,,2010-03-21 00:00:00,2010-04-12 00:00:00,0.0,22,25,2010-04-15 00:00:00,5,,6300,False,False,False,2,800,1,0,0,1,0,0,False,False,True,False,False,False,False,False,False,Attempted Lhotse (LHOT-101-03),"BC(21/03,4700m),C1(01/04,5700m),C2(12/04,6100m),xxx(12/04,6300m)",,False,Peak Promotion,True,False,False,False,Ama Dablam,6814
