,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
0,ACHN,Aichyn,"Aychin, Ashvin",Chandi Himal (SW of Changwathang),6055,Nalakankar/Chandi/Changla,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal only,Climbed,2015,Autumn,ACHN15301,Japan,"Hiroki Senda, et al"
1,AGLE,Agole East,Angole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
2,AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1961,Spring,AMAD61101,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward"
3,AMOT,Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2019,Autumn,,Germany,Jost Kobusch
4,AMPG,Amphu Gyabjen,,Khumbu Himal (N of Ama Dablam),5630,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,1953,Spring,AMPG53101,UK,"John Hunt, Tom Bourdillon"
5,AMPH,Amphu I,,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2013,Autumn,AMPH13301,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon"
6,AMPM,Amphu Middle,Amphu North,Khumbu Himal (NE of Amphu Laptsa),6202,Khumbu,Khumbu-Rolwaling-Makalu,False,True,False,Requires permit for Amphu I,Nepal only,Climbed,2008,Spring,AMPM08101,Germany,"Olaf Rieck, Alexander Graeber"
7,ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
8,ANN1,Annapurna I,,Annapurna Himal,8091,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1950,Spring,ANN150101,France,"Maurice Herzog, Louis Lachenal"
9,ANN2,Annapurna II,,Annapurna Himal,7937,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1960,Spring,ANN260101,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa"
10,ANN3,Annapurna III,,Annapurna Himal,7555,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1961,Spring,ANN361101,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi"
11,ANN4,Annapurna IV,,Annapurna Himal,7525,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1955,Spring,ANN455101,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp"
12,ANNE,Annapurna I East,,Annapurna Himal (ENE of Annapurna I),8026,Annapurna,Annapurna-Damodar-Peri,True,False,False,Requires permit for Annapurna I,Nepal only,Climbed,1974,Spring,ANNE74101,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad"
