exp_id;peak_id;year;season;host;success1;bc_date;summit_date;summit_days;tot_days;term_date;term_reason;high_point;traverse;ski;parapente;camps;rope;tot_members;summit_members;member_deaths;tot_hired;summit_hired;hired_deaths;nohired;o2used;o2none;o2climb;o2descent;o2sleep;o2medical;o2taken;o2unkwn;comrte;stdrte;primrte;primmem;primref;peak_name;height
ANN260101;ANN2;1960;1;1;TRUE;15-03-60;17-05-60;63;0;  -   -;1;7937;FALSE;FALSE;FALSE;6;0;10;2;0;9;1;0;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN269301;ANN2;1969;3;1;TRUE;25-09-69;22-10-69;27;31;26-10-69;1;7937;FALSE;FALSE;FALSE;6;0;10;2;0;0;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN273101;ANN2;1973;1;1;TRUE;16-03-73;06-05-73;51;0;  -   -;1;7937;FALSE;FALSE;FALSE;5;0;6;1;0;8;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN278301;ANN2;1978;3;1;FALSE;08-09-78;02-10-78;24;27;05-10-78;4;7000;FALSE;FALSE;FALSE;0;0;2;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN279301;ANN2;1979;3;1;FALSE;  -   -;18-10-79;0;0;20-10-79;4;7160;FALSE;FALSE;FALSE;0;0;3;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN280101;ANN2;1980;1;1;FALSE;25-03-80;24-04-80;30;37;01-05-80;6;7000;FALSE;FALSE;FALSE;4;0;6;0;1;2;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN280102;ANN2;1980;1;1;FALSE;09-04-80;08-05-80;29;0;  -   -;6;7250;FALSE;FALSE;FALSE;4;0;7;0;0;2;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN281302;ANN2;1981;3;1;FALSE;04-09-81;23-09-81;19;0;  -   -;4;6400;FALSE;FALSE;FALSE;3;0;19;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN281301;ANN2;1981;3;1;FALSE;04-09-81;11-10-81;37;43;17-10-81;6;7400;FALSE;FALSE;FALSE;5;0;9;0;1;3;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN282301;ANN2;1982;3;1;FALSE;14-09-82;04-10-82;20;24;08-10-82;4;7350;FALSE;FALSE;FALSE;5;700;5;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN283101;ANN2;1983;1;1;FALSE;11-04-83;05-05-83;24;25;  -   -;6;7450;FALSE;FALSE;FALSE;3;0;5;0;1;0;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN283301;ANN2;1983;3;1;TRUE;19-08-83;08-10-83;50;58;16-10-83;1;7937;FALSE;FALSE;FALSE;3;0;5;4;0;3;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
ANN283302;ANN2;1983;3;1;FALSE;01-09-83;08-10-83;37;55;26-10-83;5;7300;FALSE;FALSE;FALSE;5;0;6;0;0;4;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Annapurna II;7937
