exp_id;peak_id;year;season;host;route1;route2;route3;route4;nation;leaders;sponsor;success1;success2;success3;success4;ascent1;ascent2;ascent3;ascent4;claimed;disputed;countries;approach;bc_date;summit_date;summit_time;summit_days;tot_days;term_date;term_reason;term_note;high_point;traverse;ski;parapente;camps;rope;tot_members;summit_members;summiter_deaths;tot_hired;summit_hired;hired_deaths;no_hired;o2_used;o2_none;o2_climb;o2_descent;o2_sleep;o2_medical;o2_taken;o2_unkwn;other_smts;campsites;accidents;achievment;agency;comrte;stdrte;primrte;primmem;primref;primid;chksum;peak_name;peak_height
TKRG10101;TKRG;2010;1;1;E Face-S Ridge;;;;USA;David Gottlieb;Takargo 2010;TRUE;FALSE;FALSE;FALSE;1st;;;;FALSE;FALSE;;;06-03-10;12-03-10;1430;6;8;14-03-10;1;;6771;FALSE;FALSE;FALSE;0;0;3;2;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(06/03,4750m),Smt(12/03);;1st ascent;Climb High Himalaya;FALSE;FALSE;FALSE;FALSE;FALSE;;2458943;Takargo;6771
AMPG10101;AMPG;2010;1;1;NE Ridge of Amphu East;;;;UK;John Allen;British Amphu Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Via Chhukung;05-04-10;  -   -;;0;4;09-04-10;12;Abandoned at 5900m due to loose rock on Amphu East;0;FALSE;FALSE;FALSE;0;0;3;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Attempted Amphu East;BC(05/04,5100m),Biv.Amphu East(06/04,5600m),Amphu East.xxx(07/04,5900m);;;Summit Nepal Trekking;FALSE;FALSE;FALSE;FALSE;FALSE;;4935;Amphu Gyabjen;5630
AMAD10101;AMAD;2010;1;1;SW Ridge;;;;Andorra;Orial Ribas;Andorrans to Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;05-04-10;21-04-10;;16;17;22-04-10;4;Abandoned at 6500m due to high winds;6500;FALSE;FALSE;FALSE;0;0;2;0;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(05/04,4500m),Biv1(07/04,5500m),Biv2(21/04,5800m),C3(22/04,6100m),xxx(21/04,6500m);;1st Andorran attempt;Thamserku Trekking;TRUE;FALSE;FALSE;FALSE;FALSE;;2459973;Ama Dablam;6814
AMAD10102;AMAD;2010;1;1;SW Ridge;;;;Kazakhstan;Dmitri Suponnikov;Ama Dablam Expedition;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Russia;Phakding->Namche->Porchtuga->Machermo->Zongla->Pangboche;20-04-10;27-04-10;1600;7;10;30-04-10;1;;6814;FALSE;FALSE;FALSE;3;600;2;1;0;0;0;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(20/04,5300m),C1(21/04,5800m),C2(22/04,6000m),C3(23/04,6270m),Smt(27/04);Ivanova suffered from breathing difficulty;1st climber to summit in the season;Durga Tamang (Himalayan Guides pmt);TRUE;FALSE;FALSE;FALSE;FALSE;;2459979;Ama Dablam;6814
AMAD10103;AMAD;2010;1;1;SW Ridge;;;;Russia;Sergei Kofanov;Media Arts Ama Dablam Expedition;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Ukraine;Lukla->Namche->Pangboche->ABC;04-04-10;10-04-10;1600;6;9;13-04-10;1;;6814;FALSE;FALSE;FALSE;3;600;4;4;0;2;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(04/04,4000m),ABC(05/04,5100m),C1(06/04,5800m),C2(07/04,5900m),C3(08/04,6300m),Smt(10/04);;;Royal Mountain Travel;TRUE;FALSE;FALSE;FALSE;FALSE;;2459962;Ama Dablam;6814
AMAD10104;AMAD;2010;1;1;SW Ridge;;;;Russia;Volodymyr Khytrykov;Seven Summits Club Ama Dablam;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;Canada, Kazakhstan, Ukraine;Namche;03-05-10;13-05-10;;10;12;15-05-10;1;;6814;FALSE;FALSE;FALSE;3;0;4;3;0;2;2;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(03/05,4500m),ABC(04/05,5200m),C1(05/05,5780m),C2(11/05,5900m),C3(12/05,6080m),Smt(13/05);Kovalev pneumonia, hypostasis of lungs;;Royal Mountain Travel;TRUE;FALSE;FALSE;FALSE;FALSE;;2459995;Ama Dablam;6814
AMAD10105;AMAD;2010;1;1;SW Ridge;;;;Russia;Evgeny Voronov;Two Russians on Ama Dablam;TRUE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Lukla->Namche->Pangboche;26-04-10;02-05-10;1600;6;9;05-05-10;1;;6814;FALSE;FALSE;FALSE;2;0;2;2;0;0;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(26/04,5450m),ABC(29/04,5450m),C2(30/04,6000m),C3(01/05,6300m),Smt(02/05);;;Royal Mountain Travel;TRUE;FALSE;FALSE;FALSE;FALSE;;2459984;Ama Dablam;6814
AMAD10106;AMAD;2010;1;1;SW Ridge;;;;Russia;Dmitri Bezruchko;Russian team to Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;;17-04-10;26-04-10;;9;11;28-04-10;7;Abandoned at 6500m due to frostbitten fingers of leader;6500;FALSE;FALSE;FALSE;2;80;6;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(17/04),ABC(19/04,5300m),C2(22/04,6040m),C3(25/04,6400m),xxx(26/04,6500m);;;Royal Mountain Travel;TRUE;FALSE;FALSE;FALSE;FALSE;;2459978;Ama Dablam;6814
AMAD10107;AMAD;2010;1;1;SW Ridge;;;;France;Mathias Le Douce;Frenchman on Ama Dablam;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Namche->Pangboche;29-04-10;04-05-10;;5;6;05-05-10;5;Abandoned at 5900m due to too much snow;5900;FALSE;FALSE;FALSE;1;0;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;BC(29/04,4600m),C1(03/05,5600m),xxx(04/05,5900m);;;South Asian Treks;TRUE;FALSE;FALSE;FALSE;FALSE;;2459986;Ama Dablam;6814
AMAD10108;AMAD;2010;1;1;SW Ridge;;;;USA;Dick Morse;US Ama Dablam and Lhotse Expedition;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;FALSE;;Pangboche;21-03-10;12-04-10;;22;25;15-04-10;5;Abandoned at 6300m due to rock fall, bad conditions;6300;FALSE;FALSE;FALSE;2;800;1;0;0;1;0;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Attempted Lhotse (LHOT-101-03);BC(21/03,4700m),C1(01/04,5700m),C2(12/04,6100m),xxx(12/04,6300m);;;Peak Promotion;TRUE;FALSE;FALSE;FALSE;FALSE;LHOT10103;2459964;Ama Dablam;6814
